"Subject name","Gene hit","Subject start","Subject end","Subject ori","Genomic Location","Orientation","Query name","Query start","Query end","Query ori","Length","Score","E-val","%ID"
"ENSDART00000056432.7","zswim8","2458","2504","Forward","13:21856658-21856704 [Sequence]","Forward","ENSDART00000060479.6","1258","1304","Forward","47 [Sequence]","41.0","0.070","76.60 [Alignment]"
"ENSDART00000161345.2","zfr2","3006","3034","Forward","22:5057649-5057677 [Sequence]","Reverse","ENSDART00000060479.6","473","501","Forward","29 [Sequence]","41.0","0.070","93.10 [Alignment]"
"ENSDART00000122341.5","zfr2","2983","3011","Forward","22:5057649-5057677 [Sequence]","Reverse","ENSDART00000060479.6","473","501","Forward","29 [Sequence]","41.0","0.070","93.10 [Alignment]"
"ENSDART00000122405.4","jak2b","5499","5533","Reverse","5:66120035-66120069 [Sequence]","Forward","ENSDART00000060479.6","200","234","Forward","35 [Sequence]","41.0","0.070","85.71 [Alignment]"
"ENSDART00000082466.6","tgfbr2a","752","829","Reverse","19:924993-925070 [Sequence]","Forward","ENSDART00000060479.6","1176","1251","Forward","78 [Sequence]","39.4","0.21","70.51 [Alignment]"
"ENSDART00000182838.1","kcnma1a","334","377","Forward","13:16622243-16622286 [Sequence]","Forward","ENSDART00000060479.6","212","254","Forward","44 [Sequence]","39.4","0.21","81.82 [Alignment]"
"ENSDART00000122557.3","kcnma1a","1044","1087","Forward","13:16622243-16622286 [Sequence]","Forward","ENSDART00000060479.6","212","254","Forward","44 [Sequence]","39.4","0.21","81.82 [Alignment]"
"ENSDART00000143200.2","kcnma1a","283","326","Forward","13:16622243-16622286 [Sequence]","Forward","ENSDART00000060479.6","212","254","Forward","44 [Sequence]","39.4","0.21","81.82 [Alignment]"
"ENSDART00000182278.1","map6a","1981","2032","Forward","10:32581277-32581328 [Sequence]","Forward","ENSDART00000060479.6","5","56","Forward","52 [Sequence]","39.4","0.21","73.08 [Alignment]"
"ENSDART00000109029.4","map6a","1331","1382","Forward","10:32581277-32581328 [Sequence]","Forward","ENSDART00000060479.6","5","56","Forward","52 [Sequence]","39.4","0.21","73.08 [Alignment]"
"ENSDART00000066929.7","taf3","1806","1861","Forward","4:25104901-25104956 [Sequence]","Reverse","ENSDART00000060479.6","1093","1148","Forward","56 [Sequence]","39.4","0.21","71.43 [Alignment]"
"ENSDART00000136686.2","znf1170","203","254","Forward","22:2505006-2505057 [Sequence]","Forward","ENSDART00000060479.6","471","522","Forward","52 [Sequence]","39.4","0.21","73.08 [Alignment]"
"ENSDART00000134028.2","si:dkey-20i20.9","260","311","Forward","22:2782065-2782116 [Sequence]","Forward","ENSDART00000060479.6","471","522","Forward","52 [Sequence]","39.4","0.21","73.08 [Alignment]"
"ENSDART00000146337.3","zgc:175284","206","259","Forward","22:2552735-2552788 [Sequence]","Forward","ENSDART00000060479.6","471","524","Forward","54 [Sequence]","39.4","0.21","72.22 [Alignment]"
"ENSDART00000106499.4","zgc:175284","147","200","Forward","22:2552735-2552788 [Sequence]","Forward","ENSDART00000060479.6","471","524","Forward","54 [Sequence]","39.4","0.21","72.22 [Alignment]"
"ENSDART00000141836.2","si:dkey-20i20.10","85","172","Forward","22:2769840-2769927 [Sequence]","Forward","ENSDART00000060479.6","471","558","Forward","88 [Sequence]","39.4","0.21","63.64 [Alignment]"
"ENSDART00000166969.2","chd5","775","834","Forward","11:29626037-29626096 [Sequence]","Reverse","ENSDART00000060479.6","1171","1230","Forward","60 [Sequence]","39.4","0.21","70.00 [Alignment]"
"ENSDART00000176624.2","nefla","1652","1779","Forward","21:19009974-19010101 [Sequence]","Forward","ENSDART00000060479.6","1093","1224","Forward","132 [Sequence]","39.4","0.21","62.88 [Alignment]"
"ENSDART00000136196.2","nefla","1568","1695","Forward","21:19009974-19010101 [Sequence]","Forward","ENSDART00000060479.6","1093","1224","Forward","132 [Sequence]","39.4","0.21","62.88 [Alignment]"
"ENSDART00000128381.3","nefla","1732","1859","Forward","21:19009974-19010101 [Sequence]","Forward","ENSDART00000060479.6","1093","1224","Forward","132 [Sequence]","39.4","0.21","62.88 [Alignment]"
"ENSDART00000106425.5","zgc:173726","225","276","Forward","22:2517841-2517892 [Sequence]","Forward","ENSDART00000060479.6","471","522","Forward","52 [Sequence]","39.4","0.21","73.08 [Alignment]"
"ENSDART00000106425.5","zgc:173726","357","408","Forward","22:2518455-2518506 [Sequence]","Forward","ENSDART00000060479.6","471","522","Forward","52 [Sequence]","39.4","0.21","73.08 [Alignment]"
"ENSDART00000097363.6","zgc:173726","90","141","Forward","22:2517841-2517892 [Sequence]","Forward","ENSDART00000060479.6","471","522","Forward","52 [Sequence]","39.4","0.21","73.08 [Alignment]"
"ENSDART00000097363.6","zgc:173726","222","273","Forward","22:2518455-2518506 [Sequence]","Forward","ENSDART00000060479.6","471","522","Forward","52 [Sequence]","39.4","0.21","73.08 [Alignment]"
"ENSDART00000115348.4","zgc:173726","261","312","Forward","22:2517841-2517892 [Sequence]","Forward","ENSDART00000060479.6","471","522","Forward","52 [Sequence]","39.4","0.21","73.08 [Alignment]"
"ENSDART00000115348.4","zgc:173726","393","444","Forward","22:2518455-2518506 [Sequence]","Forward","ENSDART00000060479.6","471","522","Forward","52 [Sequence]","39.4","0.21","73.08 [Alignment]"
"ENSDART00000165710.2","gpbp1l1","3037","3080","Reverse","6:33896525-33896568 [Sequence]","Forward","ENSDART00000060479.6","1172","1215","Forward","44 [Sequence]","39.4","0.21","77.27 [Alignment]"
"ENSDART00000179994.1","gpbp1l1","1675","1718","Reverse","6:33896525-33896568 [Sequence]","Forward","ENSDART00000060479.6","1172","1215","Forward","44 [Sequence]","39.4","0.21","77.27 [Alignment]"
"ENSDART00000053201.6","polr2f","5","46","Forward","3:1520612-1520653 [Sequence]","Reverse","ENSDART00000060479.6","207","248","Forward","42 [Sequence]","39.4","0.21","78.57 [Alignment]"
"ENSDART00000085735.7","chd2","4144","4201","Forward","18:24946651-24946708 [Sequence]","Reverse","ENSDART00000060479.6","205","262","Forward","58 [Sequence]","39.4","0.21","70.69 [Alignment]"
"ENSDART00000163449.2","chd2","4740","4797","Forward","18:24946651-24946708 [Sequence]","Reverse","ENSDART00000060479.6","205","262","Forward","58 [Sequence]","39.4","0.21","70.69 [Alignment]"
"ENSDART00000169091.2","psd2","597","688","Forward","14:8153353-8153444 [Sequence]","Forward","ENSDART00000060479.6","11","101","Forward","92 [Sequence]","39.4","0.21","65.22 [Alignment]"
"ENSDART00000066929.7","taf3","2028","2111","Forward","4:25104651-25104734 [Sequence]","Reverse","ENSDART00000060479.6","1114","1195","Forward","84 [Sequence]","37.9","0.62","66.67 [Alignment]"
"ENSDART00000102534.4","stab2","1474","1524","Forward","CHR_ALT_CTG4_1_5:10736685-10736824 [Sequence]","Forward","ENSDART00000060479.6","100","150","Forward","51 [Sequence]","37.9","0.62","72.55 [Alignment]"
"ENSDART00000191657.1","stab2","1474","1524","Forward","CHR_ALT_CTG4_1_5:10736685-10736824 [Sequence]","Forward","ENSDART00000060479.6","100","150","Forward","51 [Sequence]","37.9","0.62","72.55 [Alignment]"
"ENSDART00000037875.8","igfn1.1","531","579","Forward","6:46907992-46908185 [Sequence]","Reverse","ENSDART00000060479.6","207","255","Forward","49 [Sequence]","37.9","0.62","73.47 [Alignment]"
"ENSDART00000179801.1","chd3","142","164","Forward","7:20758665-20758687 [Sequence]","Reverse","ENSDART00000060479.6","218","240","Forward","23 [Sequence]","37.9","0.62","100.00 [Alignment]"
"ENSDART00000182629.1","chd3","139","161","Forward","7:20758665-20758687 [Sequence]","Reverse","ENSDART00000060479.6","218","240","Forward","23 [Sequence]","37.9","0.62","100.00 [Alignment]"
"ENSDART00000156717.2","chd3","139","161","Forward","7:20758665-20758687 [Sequence]","Reverse","ENSDART00000060479.6","218","240","Forward","23 [Sequence]","37.9","0.62","100.00 [Alignment]"
"ENSDART00000155116.2","im:7152348","426","464","Forward","6:27888933-27888971 [Sequence]","Reverse","ENSDART00000060479.6","459","496","Forward","39 [Sequence]","37.9","0.62","84.62 [Alignment]"
"ENSDART00000185517.1","foxn2b","446","488","Reverse","12:24811916-24811958 [Sequence]","Reverse","ENSDART00000060479.6","1281","1323","Forward","43 [Sequence]","37.9","0.62","76.74 [Alignment]"
"ENSDART00000157485.2","znf1166","298","348","Forward","22:2202355-2202405 [Sequence]","Forward","ENSDART00000060479.6","471","521","Forward","51 [Sequence]","37.9","0.62","72.55 [Alignment]"
"ENSDART00000162347.2","znf1166","153","203","Forward","22:2202355-2202405 [Sequence]","Forward","ENSDART00000060479.6","471","521","Forward","51 [Sequence]","37.9","0.62","72.55 [Alignment]"
"ENSDART00000168713.2","znf1166","229","279","Forward","22:2202355-2202405 [Sequence]","Forward","ENSDART00000060479.6","471","521","Forward","51 [Sequence]","37.9","0.62","72.55 [Alignment]"
"ENSDART00000067253.5","stab2","1474","1524","Forward","4:10733210-10733349 [Sequence]","Forward","ENSDART00000060479.6","100","150","Forward","51 [Sequence]","37.9","0.62","72.55 [Alignment]"
"ENSDART00000136000.4","stab2","1573","1623","Forward","4:10733210-10733349 [Sequence]","Forward","ENSDART00000060479.6","100","150","Forward","51 [Sequence]","37.9","0.62","72.55 [Alignment]"
"ENSDART00000113702.4","ppp1r37","3450","3525","Reverse","18:48935362-48935437 [Sequence]","Forward","ENSDART00000060479.6","1172","1243","Forward","76 [Sequence]","37.9","0.62","73.68 [Alignment]"
"ENSDART00000156157.2","si:ch211-195o20.7","1505","1676","Forward","17:24893301-24895663 [Sequence]","Reverse","ENSDART00000060479.6","795","966","Forward","173 [Sequence]","37.9","0.62","58.96 [Alignment]"
"ENSDART00000184466.1","cmya5","3421","3481","Forward","5:51855581-51855641 [Sequence]","Forward","ENSDART00000060479.6","1234","1294","Forward","61 [Sequence]","37.9","0.62","68.85 [Alignment]"
"ENSDART00000087467.5","cmya5","3510","3570","Forward","5:51855581-51855641 [Sequence]","Forward","ENSDART00000060479.6","1234","1294","Forward","61 [Sequence]","37.9","0.62","68.85 [Alignment]"
"ENSDART00000127923.4","nktr","1350","1389","Forward","24:20647468-20647507 [Sequence]","Reverse","ENSDART00000060479.6","200","240","Forward","41 [Sequence]","37.9","0.62","82.93 [Alignment]"
"ENSDART00000078545.5","lmod1a","551","591","Forward","8:28301892-28301932 [Sequence]","Reverse","ENSDART00000060479.6","14","54","Forward","41 [Sequence]","37.9","0.62","78.05 [Alignment]"
"ENSDART00000169915.2","nop58","1577","1611","Forward","6:9665625-9665659 [Sequence]","Reverse","ENSDART00000060479.6","205","239","Forward","35 [Sequence]","37.9","0.62","82.86 [Alignment]"
"ENSDART00000172321.2","brd3b","1769","1831","Forward","5:64422695-64422757 [Sequence]","Reverse","ENSDART00000060479.6","1091","1153","Forward","63 [Sequence]","37.9","0.62","68.25 [Alignment]"
"ENSDART00000168030.2","brd3b","1642","1704","Forward","5:64422695-64422757 [Sequence]","Reverse","ENSDART00000060479.6","1091","1153","Forward","63 [Sequence]","37.9","0.62","68.25 [Alignment]"
"ENSDART00000158248.2","brd3b","202","264","Forward","5:64422695-64422757 [Sequence]","Reverse","ENSDART00000060479.6","1091","1153","Forward","63 [Sequence]","37.9","0.62","68.25 [Alignment]"
